,timestamp,question,x,y,id,group_size,gaze_c
10122,33693,1,385,480,1130103,3,1
10132,33723,1,354,444,1130103,3,1
10142,33743,1,366,444,1130103,3,1
10152,33774,1,374,444,1130103,3,1
10162,33814,1,372,453,1130103,3,1
10172,33844,1,357,448,1130103,3,1
10182,33885,1,359,447,1130103,3,1
10192,33915,1,369,446,1130103,3,1
10202,33945,1,370,448,1130103,3,1
10212,33976,1,339,528,1130103,3,1
10222,34016,1,329,553,1130103,3,1
10232,34056,1,343,548,1130103,3,1
18951,63101,2,952,433,1130103,3,0
18961,63132,2,947,428,1130103,3,0
18971,63162,2,968,430,1130103,3,0
18981,63193,2,965,413,1130103,3,0
18991,63223,2,954,418,1130103,3,0
19001,63274,2,953,405,1130103,3,0
19011,63304,2,978,455,1130103,3,0
19021,63334,2,956,435,1130103,3,0
19032,63364,2,951,439,1130103,3,0
19042,63395,2,897,440,1130103,3,0
19052,63425,2,568,482,1130103,3,0
19062,63456,2,598,465,1130103,3,0
19072,63487,2,581,470,1130103,3,0
19082,63538,2,566,477,1130103,3,0
19092,63568,2,574,459,1130103,3,0
19102,63599,2,571,491,1130103,3,0
19112,63628,2,528,470,1130103,3,0
19122,63658,2,371,498,1130103,3,0
19132,63689,2,390,493,1130103,3,0
19142,63739,2,394,486,1130103,3,0
19152,63760,2,394,507,1130103,3,0
19162,63791,2,395,473,1130103,3,0
19172,63831,2,378,460,1130103,3,0
19182,63862,2,391,400,1130103,3,0
19192,63892,2,373,391,1130103,3,0
19202,63923,2,384,385,1130103,3,0
19212,63974,2,373,370,1130103,3,0
19222,63994,2,366,400,1130103,3,0
19232,64026,2,371,383,1130103,3,0
19242,64056,2,375,387,1130103,3,0
9942,33065,1,962,384,1130201,3,0
9952,33106,1,949,361,1130201,3,0
9962,33136,1,958,361,1130201,3,0
9972,33167,1,968,362,1130201,3,0
9982,33217,1,944,360,1130201,3,0
9992,33248,1,959,353,1130201,3,0
10002,33268,1,963,354,1130201,3,0
10012,33308,1,993,353,1130201,3,0
10023,33339,1,992,357,1130201,3,0
10033,33369,1,935,382,1130201,3,0
10043,33400,1,586,391,1130201,3,0
10053,33441,1,285,429,1130201,3,0
